col1,col2,col3,col4,from_page
Emp ID,,,Employee Name:,1
PF. No.,,,ESI No.,1
PAY DAYS,,,,1
,,,DOJ,1
DESIGNATION,,,,1
,,,DEPARTMENT,1
HQ,,,A/C No.,1
Mode of Pay,,,,1
,,,DOB,1
UAN,,,,1
,,,,1
Earnings,Gross Salary,,Amount,1
,,,,1
BASIC,"8,200.00",,"8,054.00",1
HRA,"4,100.00",,"4,027.00",1
TRANSPORT ALL,"2,050.00",,"2,013.00",1
EDUCATION ALL,"2,050.00",,"2,013.00",1
MEDICAL ALL,"2,050.00",,"2,013.00",1
LTA,"2,050.00",,"2,013.00",1
PRODUCTION INC,,,"7,100.00",1
OT1,,,"4,393.00(24)",1
,,,,1
Total,"20,500.00",,"31,626.00",1
Net Pay,"27,906.00",,,1
In Words,,,,1
,"teaveType| Op: Bat} “Altoted| Avaited=}-ehBat yo""""toantoriesf“Takerr-[Op:",Rupees Twenty Seven Thousand Nine Hundred Six Only,,1
Advance E Taken!,13 Op. BSI|EMI/R&t| U0 6,Cl. Bai,,1
ADVANCE COP,20000 0     800! ot     05 200!,0 600,,1
